,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
21,182.4028,179.31924,181.5916,179.13724,180.61523,182.3248,183.15285,180.34737,182.7196,181.36078,181.02945,181.05362,179.96814,180.63147,180.07712,180.13004,180.27005,181.26686,182.17276,180.0394,180.92067,181.72986,179.31398,180.63596
22,178.76656,181.25076,181.35585,185.01848,179.76927,181.70041,179.8745,180.96478,180.50511,181.68037,184.46329,180.768,184.2084,182.46672,180.66823,179.01357,183.69456,181.89998,181.70183,184.18729,180.32121,183.10803,180.62587,184.5785
23,185.74992,184.25583,184.1536,185.49153,183.40831,185.13751,184.25764,183.19206,183.53886,182.9249,182.3034,183.2996,180.88669,181.95528,180.99364,180.92375,181.68163,181.0854,182.56024,180.91106,181.32265,180.68053,183.26575,182.66254
24,255.15468,253.73389,252.38162,252.43854,270.7141,279.2388,285.70917,293.70944,296.38544,298.4731,300.30087,312.6559,311.15094,306.66284,304.25897,290.1708,274.41974,271.36804,272.7513,270.32956,274.47284,274.5188,270.56534,279.58017
25,141.11327,141.02376,142.18073,140.50511,141.94511,143.77745,141.31664,142.14856,140.54349,140.89757,141.86931,141.42128,139.78639,139.44446,141.40213,141.0449,141.45274,140.46223,141.25073,140.37617,140.81981,141.46576,140.80988,141.08926
26,310.8784,322.42996,322.8493,323.7332,332.31726,334.16226,331.4352,325.88168,302.3736,270.8647,236.25195,201.67175,183.75655,182.6253,183.4503,182.25426,182.67458,183.17583,184.15715,184.29437,185.14716,183.94565,186.1476,185.73865
27,178.82695,178.553,177.95291,178.94807,176.75558,177.6125,179.82037,179.98825,179.5335,175.3193,177.92378,177.08452,177.2682,179.35838,179.453,178.61264,178.32375,179.40404,179.72101,176.70325,175.71326,173.04866,175.76582,175.98491
28,317.91928,351.31665,354.43417,347.25693,332.51648,326.0244,317.00067,300.64175,292.45206,306.38895,316.0562,340.49524,339.26706,353.04163,359.63782,357.16818,358.59506,361.3617,367.57153,382.72842,389.0277,400.96494,398.22543,399.0303
29,199.92409,207.5204,210.61946,215.48091,222.66954,221.53395,232.62325,231.10947,240.53369,244.32559,241.85771,243.32225,241.67996,240.75327,253.24438,251.75562,251.79707,255.57684,255.17973,256.7262,253.74278,256.6984,243.07495,242.11015
30,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241,178.03241
31,178.30373,177.96701,179.27106,179.2704,178.34067,178.40189,178.64946,180.19275,179.05159,179.40541,179.66133,178.68588,179.92924,176.70003,180.41101,179.06352,179.26933,179.2382,179.83421,181.22221,177.15456,180.55641,182.07254,177.81819
