,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
11,423.51013,422.01715,424.92752,439.2661,434.26965,431.71082,438.00586,415.9397,396.8984,376.7392,367.56537,359.0941,350.8023,330.05576,297.1952,289.24194,280.38165,265.24887,251.05527,241.4434,235.22142,236.34605,228.23373,230.43024
12,180.47546,178.73868,177.86168,179.67188,180.85045,178.9423,178.20566,179.26761,177.38571,179.07117,177.783,175.22794,176.94833,178.06966,178.37596,176.78667,178.79028,179.61008,179.28769,178.9423,177.4027,177.3863,179.33965,175.80672
13,177.43181,180.88461,177.61023,176.6952,174.453,177.88055,178.17778,181.67825,182.97745,184.50702,183.20547,184.7808,184.81554,181.15144,180.76999,181.38039,184.15408,184.77434,183.55177,183.4837,182.43196,184.1779,185.19922,184.70886
14,349.7282,345.89362,349.37646,348.35782,322.99918,309.7923,300.3313,294.85263,291.70944,285.6097,284.14752,279.7464,279.63144,283.0268,278.08823,281.1298,286.16208,296.68478,307.98465,321.3142,335.75183,340.30835,341.71823,359.7347
15,178.88873,178.929,176.01405,179.25786,177.77261,176.02805,176.2946,176.75392,178.31795,178.56726,180.98254,180.46169,180.42104,181.82147,177.3808,174.30612,175.68127,177.4223,178.69759,177.28021,177.69482,177.38332,178.49428,177.9523
16,143.19621,142.37129,143.90079,144.08559,140.23398,141.90446,144.65872,142.31888,144.01497,143.34727,141.11386,140.59659,143.48972,141.80405,141.75827,142.89594,141.28203,142.71414,143.46802,141.36528,140.06343,142.77127,143.47491,143.46594
17,142.45244,141.93617,142.14848,141.56346,141.88309,142.00124,143.94748,139.8444,142.1401,146.08203,143.50728,142.84721,141.23203,142.32372,142.67128,142.11497,144.36768,149.49995,146.3126,145.37881,148.1774,147.11511,143.42328,145.03166
18,174.89938,177.2308,174.71844,176.46747,174.14293,177.20251,176.85739,175.65666,175.68666,174.05962,176.26163,175.16891,175.53333,174.06352,174.06372,181.41447,184.34764,181.96346,182.74895,182.34195,181.86327,184.87694,180.83147,184.03587
19,182.42853,179.26831,180.2928,179.27405,177.72324,177.28876,177.92657,178.57361,177.42685,176.65613,175.94894,184.23083,187.74545,195.86148,194.85269,205.65456,203.22899,205.85487,212.03667,213.64192,197.99579,187.51944,181.31323,180.4321
20,180.03395,179.32648,179.62572,180.1867,179.6326,178.90677,180.66095,181.33987,180.23328,178.54375,181.8417,179.29912,180.88942,179.81688,179.24298,179.18324,179.40546,180.39912,179.81087,181.7197,179.3036,180.09413,178.86388,179.48721
21,181.37047,181.43843,180.92366,180.51889,179.68857,182.24756,180.14417,180.4421,181.15738,180.35052,179.70738,182.34415,179.85678,181.63391,177.20387,180.82388,177.81339,179.23846,179.6631,181.88045,179.28249,179.0811,179.38268,179.22943
22,175.98285,177.90114,180.69162,178.56897,176.84407,176.74522,176.72311,178.0083,175.69688,178.28163,178.56726,178.9975,176.17638,179.12192,178.50708,180.84142,180.52797,178.17595,178.5851,180.74998,177.8756,188.35045,185.82635,190.31299
23,179.54422,177.94997,180.30025,179.3175,176.55595,175.90623,178.56525,176.91656,177.97433,178.63213,174.55171,179.2708,175.87323,178.88466,181.43333,177.9337,177.08282,177.63864,179.7361,182.93443,178.33072,177.78847,177.88033,178.48111
24,178.086,177.71646,180.32683,180.63016,176.99017,178.78545,179.74538,177.6851,182.33473,180.0646,180.35434,181.03383,180.75761,182.35197,179.14592,177.18378,179.24951,180.4917,178.40977,177.66095,178.11987,177.16133,187.8218,176.68385
25,462.9793,469.53244,438.65787,400.55057,388.69293,359.2088,305.37665,270.8208,251.72603,239.0033,232.32722,229.3751,232.48618,228.87675,228.32233,227.23466,232.83101,245.5277,247.47162,244.03918,235.57483,234.5018,224.84743,218.9
26,181.48633,182.50261,180.74835,179.78568,182.08806,184.6997,183.40833,180.09946,182.59283,183.25925,178.01642,183.50288,178.61024,181.68782,179.13231,178.93112,179.0763,179.45445,181.757,178.18672,179.79204,179.51701,183.05855,178.75085
27,144.5889,144.56308,143.16423,144.57104,144.43253,144.33974,141.75156,143.15091,143.72504,143.76506,143.60855,145.20467,142.16489,143.78438,145.32198,144.09634,142.96524,143.9898,144.577,144.39609,142.36397,144.1606,144.94582,145.08142
28,181.08603,182.35297,181.89613,183.14662,181.65483,183.83205,180.63737,180.79912,178.4775,179.16817,178.09386,179.89803,178.27196,179.09381,177.1707,181.3117,180.7094,182.9166,181.1965,182.25653,178.78403,178.39957,176.45938,176.7688
